Time,Start Side,Left duration (min),Right duration (min),Total Duration (min),Left amount (ml),Right amount (ml),Total amount (ml),Note
"9/19/24, 2:26 PM",,,,,,,70
"9/19/24, 8:18 AM",,,,,30,45,75
"9/19/24, 3:06 AM",,,,,45,20,65
"9/18/24, 10:30 PM",,,,,,,70
"9/18/24, 4:11 PM",,20,20,40,60,40,100
"9/18/24, 8:32 AM",,20,20,40,40,30,70
"9/18/24, 3:16 AM",,,,,,,100
"9/17/24, 8:16 PM",,,,,,,70
"9/17/24, 2:53 PM",,,,,50,30,80
"9/17/24, 9:16 AM",,20,20,40,50,35,85
"9/17/24, 2:56 AM",,,,,,,80
"9/16/24, 8:40 PM",,20,20,40,50,30,80
"9/16/24, 3:44 PM",,20,20,40,50,30,80
"9/16/24, 10:13 AM",,20,20,40,40,40,80
"9/16/24, 3:37 AM",,20,20,40,,,90
"9/15/24, 9:14 PM",,20,20,40,50,40,90
"9/15/24, 4:28 PM",,,,,55,40,95
"9/15/24, 9:31 AM",,20,20,40,,,80
"9/15/24, 3:00 AM",,20,20,40,,,85
"9/14/24, 9:08 PM",,,,,,,90
"9/14/24, 2:22 PM",,20,20,40,,,80
"9/14/24, 8:50 AM",,,,,30,50,80
"9/14/24, 3:27 AM",,20,20,40,,,80
"9/13/24, 10:36 PM",,20,20,40,,,75
"9/13/24, 5:29 PM",,,,,40,30,70
"9/13/24, 12:53 PM",,,,,40,30,70
"9/13/24, 8:00 AM",,,,,,,90
"9/13/24, 1:37 AM",,20,20,40,50,40,90
"9/12/24, 7:07 PM",,20,20,40,40,30,70
"9/12/24, 2:17 PM",,20,20,40,60,40,100
"9/12/24, 8:15 AM",,20,20,40,,,80
"9/12/24, 2:10 AM",,20,20,40,,,80
"9/11/24, 6:30 PM",,,,,,,60
"9/11/24, 2:12 PM",,20,20,40,,,80
"9/11/24, 8:00 AM",,,,,50,40,90
"9/11/24, 2:10 AM",,20,20,40,50,35,85
"9/10/24, 7:13 PM",,,,,40,30,70
"9/10/24, 2:20 PM",,,,,45,30,75
"9/10/24, 7:47 AM",,20,20,40,,,70
"9/10/24, 2:10 AM",,20,20,40,70,50,120
"9/9/24, 3:36 PM",,,,,30,40,70
"9/9/24, 10:40 AM",,,,,40,30,70
"9/9/24, 4:58 AM",,,,,50,30,80
"9/8/24, 10:29 PM",,,,,40,30,70
"9/8/24, 5:13 PM",,,,,,,70
"9/8/24, 12:00 PM",,,,,,,80
"9/8/24, 5:28 AM",,,,,75,60,135
"9/7/24, 6:50 PM",,,,,60,30,90
"9/7/24, 1:10 PM",,,,,50,40,90
"9/7/24, 5:16 AM",,,,,,,80
"9/6/24, 11:50 PM",,,,,50,30,80
"9/6/24, 5:30 PM",,,,,,,80
"9/6/24, 10:24 AM",,,,,,,60
"9/6/24, 7:00 AM",,,,,80,50,130
"9/5/24, 9:10 PM",,,,,,,60
"9/5/24, 3:27 PM",,,,,40,40,80
"9/5/24, 9:38 AM",,,,,,,80
"9/5/24, 4:30 AM",,,,,40,60,100
"9/4/24, 9:51 PM",,20,20,40,50,40,90
"9/4/24, 5:16 PM",,20,20,40,,,60
"9/4/24, 11:08 AM",,,,,,,80
"9/4/24, 4:25 AM",,20,20,40,50,30,80
"9/3/24, 10:05 PM",,20,20,40,,,
"9/3/24, 4:45 PM",,,,,,,80
"9/3/24, 10:04 AM",,20,20,40,,,60
"9/3/24, 5:05 AM",,20,20,40,60,40,100
"9/2/24, 9:00 PM",,,,,60,35,95
"9/2/24, 2:59 PM",,20,20,40,,,80
"9/2/24, 9:15 AM",,,,,,,60
"9/2/24, 3:59 AM",,20,20,40,60,40,100
"9/1/24, 9:30 PM",,20,20,40,,,80
"9/1/24, 2:25 PM",,20,20,40,,,80
"9/1/24, 8:20 AM",,20,20,40,,,75
"9/1/24, 2:00 AM",,20,20,40,40,30,70
"8/31/24, 8:25 PM",,20,20,40,50,30,80
"8/31/24, 2:30 PM",,20,20,40,40,30,70
"8/31/24, 9:00 AM",,,,,,,70
"8/31/24, 3:57 AM",,20,20,40,,,80
"8/30/24, 9:15 PM",,20,20,40,55,40,95
"8/30/24, 4:00 PM",,20,20,40,60,30,90
"8/30/24, 9:08 AM",,20,20,40,40,30,70
"8/30/24, 2:07 AM",,20,20,40,50,30,80
"8/29/24, 8:00 PM",,20,20,40,50,20,70
"8/29/24, 2:16 PM",,20,20,40,50,30,80
"8/29/24, 8:20 AM",,20,20,40,50,30,80
"8/29/24, 2:13 AM",,20,20,40,30,55,85
"8/28/24, 8:33 PM",,20,20,40,,,100
"8/28/24, 2:10 PM",,,,,,,70
"8/28/24, 8:26 AM",,20,20,40,50,35,85
"8/28/24, 2:44 AM",,20,20,40,45,30,75
"8/27/24, 9:42 PM",,20,20,40,60,30,90
"8/27/24, 3:57 PM",,20,20,40,60,30,90
"8/27/24, 9:00 AM",,20,20,40,,,70
"8/27/24, 3:10 AM",,20,20,40,50,40,90
"8/26/24, 8:02 PM",,20,20,40,50,30,80
"8/26/24, 2:17 PM",,20,20,40,45,30,75
"8/26/24, 8:32 AM",,20,20,40,60,40,100
"8/26/24, 2:15 AM",,20,20,40,50,30,80
"8/25/24, 9:25 PM",,,,,,,90
"8/25/24, 8:06 PM",,20,20,40,,,
"8/25/24, 2:13 PM",,20,20,40,,,70
"8/25/24, 8:35 AM",,20,20,40,45,30,75
"8/25/24, 3:03 AM",,20,20,40,75,40,115
"8/24/24, 7:30 PM",,20,20,40,,,80
"8/24/24, 1:32 PM",,20,20,40,,,80
"8/24/24, 8:42 AM",,20,20,40,,,80
"8/24/24, 2:20 AM",,20,20,40,30,50,80
"8/23/24, 9:12 PM",,20,20,40,,,60
"8/23/24, 5:15 PM",,20,20,40,,,70
"8/23/24, 1:27 PM",,20,20,40,,,60
"8/23/24, 8:00 AM",,20,20,40,,,70
"8/23/24, 1:54 AM",,20,20,40,40,65,105
"8/22/24, 7:28 PM",,20,20,40,45,20,65
"8/22/24, 1:40 PM",,20,20,40,50,35,85
"8/22/24, 7:38 AM",,20,20,40,,,80
"8/22/24, 2:16 AM",,20,20,40,,,85
"8/21/24, 9:46 PM",,20,20,40,40,30,70
"8/21/24, 4:00 PM",,20,20,40,,,70
"8/21/24, 9:07 AM",,20,20,40,,,70
"8/21/24, 2:08 AM",,20,20,40,40,30,70
"8/20/24, 9:27 PM",,20,20,40,60,45,105
"8/20/24, 4:13 PM",,15,15,30,,,40
"8/20/24, 11:56 AM",,20,20,40,50,20,70
"8/20/24, 5:59 AM",,20,20,40,,,60
"8/20/24, 1:39 AM",,20,20,40,70,40,110
"8/19/24, 6:45 PM",,20,20,40,,,80
"8/19/24, 12:55 PM",,20,20,40,,,70
"8/19/24, 6:45 AM",,,,,,,70
"8/19/24, 1:46 AM",,20,20,40,40,20,60
"8/18/24, 9:43 PM",,20,20,40,45,20,65
"8/18/24, 5:35 PM",,20,20,40,,,60
"8/18/24, 12:32 PM",,20,20,40,,,70
"8/18/24, 8:06 AM",,20,20,40,40,30,70
"8/18/24, 3:19 AM",,20,20,40,40,30,70
"8/17/24, 10:14 PM",,20,20,40,,,70
"8/17/24, 5:39 PM",,,,,60,30,90
"8/17/24, 11:44 AM",,20,20,40,,,60
"8/17/24, 7:34 AM",,20,20,40,,,70
"8/17/24, 2:33 AM",,20,20,40,,,80
"8/16/24, 9:30 PM",,20,20,40,,,80
"8/16/24, 4:32 PM",,,,,60,25,85
"8/16/24, 11:07 AM",,20,20,40,,,40
"8/16/24, 6:20 AM",,20,20,40,,,65
"8/16/24, 1:00 AM",,20,20,40,,,105
"8/15/24, 6:15 PM",,,,,,,60
"8/15/24, 1:34 PM",,20,20,40,,,70
"8/15/24, 7:47 AM",,20,20,40,,,75
"8/15/24, 2:59 AM",,20,20,40,60,50,110
"8/14/24, 10:19 PM",,20,20,40,50,30,80
"8/14/24, 5:25 PM",,20,20,40,,,60
"8/14/24, 12:00 PM",,20,20,40,50,30,80
"8/14/24, 6:00 AM",,20,20,40,,,100
"8/13/24, 11:40 PM",,,,,50,40,90
"8/13/24, 5:44 PM",,20,20,40,40,20,60
"8/13/24, 11:52 AM",,20,20,40,,,70
"8/13/24, 7:38 AM",,20,20,40,50,30,80
"8/13/24, 2:30 AM",,,,,50,30,80
"8/12/24, 10:15 PM",,20,20,40,50,30,80
"8/12/24, 3:30 PM",,,,,40,30,70
"8/12/24, 11:35 AM",,20,20,40,40,30,70
"8/12/24, 7:02 AM",,20,20,40,60,20,80
"8/12/24, 1:32 AM",,20,20,40,,,70
"8/11/24, 8:55 PM",,20,20,40,,30,30
"8/11/24, 4:55 PM",,20,20,40,40,30,70
"8/11/24, 12:33 PM",,20,20,40,50,30,80
"8/11/24, 7:00 AM",,20,20,40,40,30,70
"8/11/24, 2:40 AM",,,,,40,20,60
"8/10/24, 10:37 PM",,20,20,40,50,30,80
"8/10/24, 5:35 PM",,,,,,,80
"8/10/24, 12:28 PM",,20,20,40,,,75
"8/10/24, 7:08 AM",,20,20,40,,,60
"8/10/24, 2:00 AM",,,,,60,40,100
"8/9/24, 8:16 PM",,20,20,40,,,60
"8/9/24, 4:00 PM",,,,,40,20,60
"8/9/24, 10:59 AM",,20,20,40,,,30
"8/9/24, 6:28 AM",,20,20,40,40,30,70
"8/9/24, 12:27 AM",,20,20,40,40,30,70
"8/8/24, 8:15 PM",,20,20,40,,25,25
"8/8/24, 3:38 PM",,20,20,40,40,20,60
"8/8/24, 11:40 AM",,20,20,40,40,35,75
"8/8/24, 6:44 AM",,20,20,40,40,15,55
"8/8/24, 1:45 AM",,20,20,40,30,20,50
"8/7/24, 9:50 PM",,,,,40,20,60
"8/7/24, 4:20 PM",,,,,40,20,60
"8/7/24, 11:31 AM",,20,20,40,30,20,50
"8/7/24, 6:47 AM",,20,20,40,30,20,50
"8/7/24, 1:50 AM",,20,20,40,40,30,70
"8/6/24, 8:35 PM",,,,,30,30,60
"8/6/24, 3:54 PM",,,,,50,30,80
"8/6/24, 10:32 AM",,20,20,40,,,60
"8/6/24, 5:56 AM",,20,20,40,40,40,80
"8/6/24, 12:39 AM",,20,20,40,40,20,60
"8/5/24, 8:57 PM",,20,20,40,40,10,50
"8/5/24, 4:19 PM",,20,20,40,30,30,60
"8/5/24, 11:13 AM",,15,15,30,,,60
"8/5/24, 6:21 AM",,20,20,40,,,60
"8/5/24, 1:10 AM",,20,20,40,40,20,60
"8/4/24, 7:48 PM",,20,20,40,30,30,60
"8/4/24, 3:20 PM",,20,20,40,,,70
"8/4/24, 11:32 AM",,20,20,40,45,30,75
"8/4/24, 5:47 AM",,20,20,40,50,20,70
"8/3/24, 10:32 PM",,,,,,,50
"8/3/24, 5:54 PM",,20,20,40,,,60
"8/3/24, 2:18 PM",,20,20,40,40,20,60
"8/3/24, 10:32 AM",,20,20,40,40,20,60
"8/3/24, 6:03 AM",,20,20,40,50,20,70
"8/2/24, 10:27 PM",,15,15,30,40,30,70
"8/2/24, 5:17 PM",,20,20,40,,,50
"8/2/24, 12:21 PM",,20,20,40,50,30,80
"8/2/24, 6:42 AM",,20,20,40,40,20,60
"8/2/24, 1:24 AM",,20,20,40,40,20,60
"8/1/24, 9:17 PM",,20,20,40,40,20,60
"8/1/24, 4:22 PM",,15,15,30,,,50
"8/1/24, 11:04 AM",,15,15,30,40,30,70,"15 flange both sides 

More nipple pain in left boob 
Purple nipples for 30 seconds after
Some shooting pain after in breasts "
"8/1/24, 6:32 AM",,17,17,34,40,30,70
"7/31/24, 10:36 PM",,11,11,22,,,40,Pain after
"7/31/24, 6:05 PM",,14,14,28,30,10,40
"7/31/24, 2:46 PM",,15,15,30,,,40
"7/31/24, 10:53 AM",,16,16,32,,,50
"7/31/24, 6:30 AM",,16,16,32,40,20,60
"7/31/24, 12:08 AM",,15,15,30,30,20,50
"7/30/24, 7:44 PM",,17,17,34,,,50
"7/30/24, 3:38 PM",,17,17,34,,,40
"7/30/24, 12:53 PM",,17,17,34,40,10,50
"7/30/24, 8:18 AM",,17,17,34,,,50
"7/30/24, 1:36 AM",,16,16,32,30,15,45
"7/29/24, 9:43 PM",,17,17,34,40,20,60
"7/29/24, 3:56 PM",,14,14,28,30,15,45
"7/29/24, 11:03 AM",,10,10,20,35,10,45
"7/29/24, 6:28 AM",,13,13,26,30,15,45
"7/29/24, 2:14 AM",,15,15,30,40,20,60
"7/28/24, 7:43 PM",,14,14,28,30,15,45
"7/28/24, 2:51 PM",,12,12,24,25,20,45
"7/28/24, 9:09 AM",,14,14,28,40,15,55
"7/28/24, 4:28 AM",,12,12,24,40,20,60
"7/27/24, 9:34 PM",,13,13,26,35,20,55
"7/27/24, 4:14 PM",,17,17,34,30,20,50
"7/27/24, 11:20 AM",,16,16,32,,,35
"7/27/24, 6:42 AM",,22,22,44,40,20,60
"7/26/24, 11:50 PM",,16,16,32,,,40
"7/26/24, 7:08 PM",,16,16,32,,,40
"7/26/24, 2:48 PM",,18,18,36,,,60
"7/26/24, 8:06 AM",,16,16,32,40,10,50
"7/26/24, 1:21 AM",,16,16,32,40,20,60
"7/25/24, 5:47 PM",,8,8,16,35,10,45
"7/25/24, 11:40 AM",,9,9,18,30,10,40
"7/25/24, 6:36 AM",,10,10,20,,,35
"7/25/24, 1:19 AM",,16,16,32,30,10,40
"7/24/24, 7:46 PM",,18,18,36,30,10,40
"7/24/24, 2:52 PM",,8,8,16,20,10,30
"7/24/24, 10:35 AM",,10,10,20,30,5,35
"7/24/24, 5:55 AM",,12,12,24,35,15,50
"7/23/24, 11:20 PM",,10,10,20,35,10,45
"7/23/24, 5:12 PM",,10,10,20,20,10,30
"7/23/24, 12:21 PM",,10,10,20,30,10,40
"7/23/24, 6:51 AM",,7,7,14,35,10,45
"7/23/24, 12:22 AM",,11,11,22,,,45
"7/22/24, 5:55 PM",,10,10,20,30,10,40
"7/22/24, 1:23 PM",,10,10,20,40,10,50
"7/22/24, 6:22 AM",,8,8,16,25,20,45
"7/21/24, 11:47 PM",,5,5,10,30,10,40
"7/21/24, 7:14 PM",,5,5,10,20,5,25
"7/21/24, 1:54 PM",,8,8,16,30,5,35
"7/21/24, 9:01 AM",,6,6,12,20,,20
"7/21/24, 3:34 AM",,5,5,10,,,30
"7/20/24, 10:54 PM",,5,5,10,,,30
"7/20/24, 6:57 PM",,6,6,12,30,5,35
"7/20/24, 12:14 PM",,5,5,10,,,30
"7/20/24, 8:14 AM",,5,5,10,25,5,30
"7/20/24, 3:53 AM",,9,9,18,30,10,40
"7/19/24, 10:37 PM",,7,7,14,35,10,45
"7/19/24, 4:53 PM",,9,9,18,30,10,40
"7/19/24, 11:00 AM",,7,7,14,20,5,25
"7/19/24, 5:09 AM",,6,6,12,30,20,50
"7/18/24, 11:17 PM",,6,6,12,,,40
"7/18/24, 6:16 PM",,6,6,12,30,5,35
"7/18/24, 1:18 PM",,4,4,8,20,10,30
"7/18/24, 6:31 AM",,10,10,20,30,15,45
"7/17/24, 11:34 PM",,7,7,14,,,40
"7/17/24, 7:22 PM",,9,9,18,,,40
"7/17/24, 2:40 PM",,10,10,20,30,10,40
"7/17/24, 9:42 AM",,5,5,10,,,45
"7/17/24, 4:38 AM",,6,6,12,30,20,50
"7/17/24, 12:14 AM",,9,9,18,30,20,50
"7/16/24, 7:50 PM",,8,8,16,30,20,50
"7/16/24, 3:31 PM",,6,6,12,25,20,45
"7/16/24, 11:15 AM",,5,5,10,20,15,35
"7/16/24, 6:40 AM",,6,6,12,30,20,50
"7/16/24, 1:43 AM",,5,5,10,20,20,40
"7/15/24, 8:29 PM",,6,6,12,30,20,50
"7/15/24, 3:34 PM",,7,7,14,30,20,50
"7/15/24, 11:20 AM",,6,6,12,25,20,45
"7/15/24, 6:51 AM",,5,5,10,,,30
"7/15/24, 2:08 AM",,7,7,14,30,20,50
"7/14/24, 9:57 PM",,7,7,14,30,20,50
"7/14/24, 5:38 PM",,7,7,14,25,15,40
"7/14/24, 1:13 PM",,10,10,20,30,20,50
"7/14/24, 9:18 AM",,9,9,18,,,30
"7/14/24, 4:44 AM",,8,8,16,30,20,50
"7/14/24, 12:35 AM",,9,9,18,30,10,40
"7/13/24, 7:41 PM",,9,9,18,20,10,30
"7/13/24, 3:18 PM",,8,8,16,35,20,55
"7/13/24, 10:22 AM",,10,10,20,20,10,30
"7/13/24, 5:54 AM",,10,10,20,20,10,30
"7/12/24, 11:59 PM",,9,9,18,30,10,40
"7/12/24, 7:49 PM",,9,9,18,25,20,45
"7/12/24, 3:07 PM",,10,10,20,,,25
"7/12/24, 11:03 AM",,8,8,16,15,5,20
"7/12/24, 8:33 AM",,8,8,16,30,5,35
"7/12/24, 4:03 AM",,8,8,16,20,10,30
"7/11/24, 10:39 PM",,8,8,16,25,5,30
"7/11/24, 5:42 PM",,9,9,18,30,5,35
"7/11/24, 11:34 AM",,8,8,16,15,5,20
"7/11/24, 6:55 AM",,8,8,16,20,5,25
"7/11/24, 2:39 AM",,8,8,16,20,5,25
"7/10/24, 10:07 PM",,10,10,20,20,10,30
"7/10/24, 5:58 PM",,10,10,20,25,15,40
"7/10/24, 1:41 PM",,17,17,34,50,20,70
"7/10/24, 7:47 AM",,10,10,20,35,10,45
"7/10/24, 1:24 AM",,13,13,26,40,20,60
"7/9/24, 7:03 PM",,8,8,16,25,15,40
"7/9/24, 1:35 PM",,10,10,20,30,20,50
"7/9/24, 7:04 AM",,11,11,22,40,20,60
"7/9/24, 1:08 AM",,9,9,18,45,40,85
"7/8/24, 8:09 PM",,11,11,22,40,20,60
"7/8/24, 3:42 PM",,10,10,20,40,20,60
"7/8/24, 10:16 AM",,9,9,18,30,10,40
"7/8/24, 6:06 AM",,8,8,16,35,30,65
"7/8/24, 1:23 AM",,9,9,18,50,30,80
"7/7/24, 8:38 PM",,10,10,20,50,40,90
"7/7/24, 4:38 PM",,9,9,18,45,35,80
"7/7/24, 12:07 PM",,9,9,18,40,20,60
"7/7/24, 8:11 AM",,10,10,20,30,30,60
"7/7/24, 4:31 AM",,5,5,10,30,30,60
"7/7/24, 1:59 AM",,8,8,16,40,,40
"7/6/24, 11:02 PM",,8,8,16,40,30,70
"7/6/24, 6:13 PM",,4,4,8,,,50
"7/6/24, 3:52 PM",,13,13,26,40,30,70
"7/6/24, 11:56 AM",,9,9,18,,,60
"7/6/24, 7:41 AM",,14,14,28,30,30,60
"7/6/24, 4:57 AM",,15,15,30,30,30,60
"7/6/24, 1:46 AM",Right,12,20,32,30,40,70
"7/5/24, 11:47 PM",,10,10,20,,,60
"7/5/24, 8:36 PM",,12,12,24,30,20,50
"7/5/24, 6:19 PM",,6,6,12,35,30,65
"7/5/24, 3:55 PM",,14,14,28,30,35,65
"7/5/24, 1:26 PM",,12,12,24,,,50
"7/5/24, 11:01 AM",,9,9,18,,,60
"7/5/24, 8:58 AM",,12,12,24,30,30,60
"7/5/24, 6:45 AM",,13,13,26,40,40,80
"7/5/24, 3:11 AM",,11,11,22,,,60
"7/4/24, 11:20 PM",,12,12,24,30,20,50
"7/4/24, 9:20 PM",,10,10,20,35,30,65
"7/4/24, 7:13 PM",,12,12,24,30,30,60
"7/4/24, 5:07 PM",,11,11,22,35,35,70
"7/4/24, 2:07 PM",,12,12,24,40,35,75
"7/4/24, 12:03 PM",,12,12,24,30,35,65
"7/4/24, 9:51 AM",,10,10,20,30,30,60
"7/4/24, 7:50 AM",,11,11,22,40,40,80
"7/4/24, 4:57 AM",,13,13,26,50,45,95
"7/4/24, 2:13 AM",,10,10,20,40,30,70
"7/3/24, 9:19 PM",,11,11,22,35,35,70
"7/3/24, 7:06 PM",,15,15,30,45,50,95
"7/3/24, 5:00 PM",,11,11,22,30,40,70
"7/3/24, 1:36 PM",,11,11,22,30,30,60
"7/3/24, 10:54 AM",,11,11,22,40,45,85
"7/3/24, 8:18 AM",,13,13,26,40,40,80
"7/3/24, 4:32 AM",,12,12,24,45,45,90
"7/3/24, 1:30 AM",,12,12,24,30,30,60
"7/2/24, 9:41 PM",,10,10,20,35,35,70
"7/2/24, 6:59 PM",,11,11,22,35,25,60
"7/2/24, 4:50 PM",,12,12,24,30,30,60
"7/2/24, 2:44 PM",,10,10,20,30,40,70
"7/2/24, 12:31 PM",,10,10,20,30,30,60
"7/2/24, 9:46 AM",,11,11,22,30,45,75
"7/2/24, 7:18 AM",,11,11,22,35,40,75
"7/2/24, 4:37 AM",,10,10,20,40,40,80
"7/2/24, 1:17 AM",,12,12,24,40,40,80
"7/1/24, 10:48 PM",,11,11,22,35,40,75
"7/1/24, 7:59 PM",,12,12,24,35,50,85
"7/1/24, 5:08 PM",,10,10,20,30,40,70
"7/1/24, 2:24 PM",,11,11,22,30,35,65
"7/1/24, 11:38 AM",,13,13,26,30,40,70
"7/1/24, 9:25 AM",,10,10,20,30,50,80
"7/1/24, 6:51 AM",,10,10,20,30,35,65
"7/1/24, 4:22 AM",,10,10,20,40,40,80
"7/1/24, 1:44 AM",,10,10,20,40,50,90
"6/30/24, 10:02 PM",,10,10,20,30,30,60
"6/30/24, 6:46 PM",,14,14,28,30,40,70
"6/30/24, 4:40 PM",,11,11,22,30,40,70
"6/30/24, 1:52 PM",,10,10,20,35,25,60
"6/30/24, 11:07 AM",,16,16,32,50,60,110
"6/30/24, 7:54 AM",,11,11,22,35,40,75
"6/30/24, 5:32 AM",,10,10,20,,,60
"6/30/24, 1:59 AM",,10,10,20,30,40,70
"6/29/24, 10:37 PM",,9,9,18,30,40,70
"6/29/24, 7:23 PM",,15,15,30,40,50,90
"6/29/24, 3:02 PM",,10,10,20,30,40,70
"6/29/24, 10:54 AM",,11,11,22,,,58
"6/29/24, 8:02 AM",,9,9,18,35,20,55
"6/29/24, 5:03 AM",,12,12,24,,,45
"6/29/24, 2:54 AM",,8,8,16,20,20,40
"6/28/24, 11:59 PM",,10,10,20,30,20,50
"6/28/24, 9:38 PM",,8,8,16,,,40
"6/28/24, 7:16 PM",,,,,,,55
"6/28/24, 3:54 PM",,,,,30,25,55
"6/28/24, 12:30 PM",,,,,,,40
"6/28/24, 9:30 AM",,8,8,16,,,35
"6/28/24, 8:00 AM",,,,,30,30,59,20 mins on both sides 
"6/28/24, 4:30 AM",,,,,,,70
"6/28/24, 1:30 AM",,15,15,30,35,35,70
"6/27/24, 10:41 PM",,,,,15,15,30
